userId,churn_date
1749042,2018-10-21 01:16:24
1222580,2018-10-30 23:17:30
1385500,2018-11-17 04:54:09
1032628,2018-10-01 16:27:17
1009070,2018-10-03 17:21:39
1144647,2018-10-28 02:43:58
1834381,2018-10-06 14:11:11
1240184,2018-11-14 21:43:36
1063929,2018-10-25 17:41:25
1559837,2018-10-20 10:23:24
1390009,2018-10-26 09:36:50
1852704,2018-10-29 05:11:07
1418529,2018-11-11 11:17:44
1912561,2018-10-12 23:10:08
1711691,2018-10-13 09:31:59
1642905,2018-11-13 18:25:53
1528783,2018-10-23 12:52:28
1878794,2018-10-03 15:52:29
1358369,2018-10-11 00:54:54
1276983,2018-10-31 05:27:55
1604150,2018-10-19 22:44:33
1221413,2018-10-14 18:44:56
1162900,2018-11-09 01:48:12
1202559,2018-11-08 20:31:49
1230041,2018-11-04 12:02:05
1274097,2018-10-01 07:27:29
1827199,2018-10-10 06:12:59
1074641,2018-10-25 03:17:46
1595496,2018-11-02 22:35:53
1901750,2018-10-23 15:06:26
1273638,2018-11-07 17:32:54
1923638,2018-11-07 09:07:36
1395487,2018-10-27 01:13:28
1741677,2018-10-26 18:41:15
1051647,2018-10-30 20:55:11
1277353,2018-10-01 06:44:14
1372213,2018-11-02 14:28:21
1919555,2018-10-06 17:03:52
1916157,2018-10-03 01:47:20
1153297,2018-10-18 18:52:06
1495207,2018-11-09 11:29:06
1579595,2018-11-06 11:45:16
1964084,2018-10-30 01:11:10
1841647,2018-11-06 05:31:50
1613541,2018-10-21 04:44:12
1121796,2018-10-09 14:44:40
1196855,2018-10-26 14:12:15
1659801,2018-10-26 14:28:06
1475989,2018-11-15 11:44:29
1334216,2018-10-27 09:30:49
1000353,2018-10-22 22:25:49
1216745,2018-11-11 01:17:47
1905681,2018-10-05 01:36:31
1504984,2018-10-19 16:04:33
1397171,2018-10-25 13:21:01
1549598,2018-10-29 21:15:11
1993639,2018-10-13 02:41:03
1395433,2018-10-14 13:56:39
1430167,2018-10-14 06:11:41
1529498,2018-10-16 15:23:05
1108605,2018-11-15 13:30:52
1628438,2018-10-23 19:00:57
1001163,2018-10-04 17:30:21
1199183,2018-11-11 11:35:05
1391043,2018-10-13 04:51:05
1501583,2018-10-04 11:08:33
1870210,2018-10-11 21:49:11
1407099,2018-10-24 00:53:10
1484757,2018-11-13 00:17:34
1628356,2018-11-04 23:00:23
1185280,2018-10-08 01:45:39
1130605,2018-10-09 05:31:34
1681525,2018-10-01 21:13:40
1683686,2018-10-08 05:55:10
1406232,2018-10-10 06:36:53
